smiles,antibiotic_activity,mol_weight,clogp,clogp_6.5
CC(=O)N[C@@H](CS)C(=O)O,0,163.198,-0.4945,0
CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,0,207.229,0.8184,0
CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,0,332.313,-3.57583,0
CC(=O)N[C@@H]1[C@@H](O)C[C@@](O)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,0,309.271,-3.8718,0
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,0,613.915,3.1154,0
CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,0,556.863,3.157,0
CC(=O)Nc1cc([As](=O)(O)O)ccc1O,0,275.092,-1.0884,0
CC(=O)Nc1ccc(C(=O)O)cc1,0,179.175,1.3432,0
CC(=O)Nc1ccc(CC(=O)O)cc1,0,193.202,1.2721,0
CC(=O)Nc1ccc(O)cc1,0,151.165,1.3506,0
CC(=O)Nc1ccc(OC(=O)c2ccccc2O)cc1,0,271.272,2.5698,0
CC(=O)Nc1ccc(OC(C)=O)cc1,0,193.202,1.5703,0
CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc([N+](=O)[O-])cc2)cc1,0,335.341,2.354,0
CC(=O)Nc1ccc(S(=O)(=O)Nc2onc(C)c2C)cc1,0,309.347,2.05064,0
CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(C)=O)cc2)cc1,0,332.381,2.4362,0
CC(=O)Nc1cccc(O)c1,0,151.165,1.3506,0
CC(=O)Nc1ccccc1,0,135.166,1.645,0
CC(=O)Nc1ncc([N+](=O)[O-])s1,0,187.18,1.0097,0
CC(=O)Nc1nnc(S(N)(=O)=O)s1,0,222.251,-0.8561,0
CC(=O)O.Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,0,530.665,6.42192,0
CC(=O)O.Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,0,578.614,6.47314,0
CC(=O)O.N=C(N)N/N=C\c1c(Cl)cccc1Cl,0,291.138,1.90127,0
CC(=O)OC(C)C[N+](C)(C)C.[Cl-],0,195.69,-2.3518,0
CC(=O)OC(CC(=O)O)[N+](C)(C)C.[Cl-],0,225.672,-2.9395,0
CC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,0,328.496,6.0811,0
CC(=O)OC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,0,673.123,15.3277,1
CC(=O)OC1CC2CCC1(C)C2(C)C,0,196.29,2.7643,0
CC(=O)OC1CCC2(C)C(=CC=C3C2CCC2(C)C3CCC2C(C)/C=C/C(C)C(C)C)C1(C)C,0,466.75,8.5377,1
CC(=O)OC1CCC2(C)C3CC(=O)C4(C)C(CC5OC6(CCC(C)CO6)[C@@H](C)C54)C3CC[C@H]2C1,0,472.666,5.5436,0
CC(=O)OC1CC[C@@]2(C)C(CCC3C2CC[C@]2(C)C(C4=CC(=O)OC4)C(OC(C)=O)CC32O)C1,0,474.594,3.7167,0
